Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
25 Aug 2024,BY TRANSFER-UPI/CR/432869882741/SAGAR MO/SBIN/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,2125.89,56902.81
10 Jul 2024,TO TRANSFER-UPI/DR/470175301573/PRIYA K/ICIC/write2same/UPI--,TRANSFER TO 8974521398,2281.34,,54621.47
28 Jul 2024,TO TRANSFER-UPI/DR/467373905603/RAHUL D/IDIB/spawar3290/UPI--,TRANSFER TO 8974521398,827.65,,53793.82
19 Aug 2024,TO TRANSFER-UPI/DR/493552404347/RAHUL D/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,3973.85,,49819.97
2 Aug 2024,BY TRANSFER-UPI/CR/401539534167/ROHIT T/ICIC/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,3415.07,53235.04
5 Jul 2024,TO TRANSFER-UPI/DR/413177847784/ANITA P/SBIN/write2same/UPI--,TRANSFER TO 8974521398,4210.94,,49024.1
24 Aug 2024,BY TRANSFER-UPI/CR/421223904614/PRIYA K/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,682.16,49706.26
29 Aug 2024,TO TRANSFER-UPI/DR/417824815608/RAHUL D/HDFC/spawar3290/UPI--,TRANSFER TO 8974521398,2977.33,,46728.93
26 Aug 2024,BY TRANSFER-UPI/CR/474432426904/SAGAR MO/HDFC/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,1759.9,48488.83
10 Aug 2024,BY TRANSFER-UPI/CR/431561008589/RAHUL D/SBIN/write2same/Dr Re--,TRANSFER FROM 4897732162091,,203.99,48692.82
14 Jul 2024,BY TRANSFER-UPI/CR/411314233955/PRIYA K/KKBK/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,3178.82,51871.64
20 Jul 2024,TO TRANSFER-UPI/DR/422196795828/SAMEER S/IDIB/anitapawar/UPI--,TRANSFER TO 4897732162091,2713.69,,49157.95
31 Aug 2024,TO TRANSFER-UPI/DR/492363813897/PRIYA K/IDIB/rahuldixit/UPI--,TRANSFER TO 9137022807,2343.19,,46814.76
2 Sep 2024,BY TRANSFER-UPI/CR/418845603434/SAGAR MO/IDIB/write2same/Dr Re--,TRANSFER FROM 4897690162095,,979.01,47793.77
26 Jul 2024,BY TRANSFER-UPI/CR/409917060181/ROHIT T/IDIB/write2same/Dr Re--,TRANSFER FROM 8974521398,,2829.35,50623.12
2 Aug 2024,TO TRANSFER-UPI/DR/441764049225/SAMEER S/HDFC/spawar3290/UPI--,TRANSFER TO 9137022807,3117.39,,47505.73
12 Sep 2024,TO TRANSFER-UPI/DR/494290866703/PRIYA K/ICIC/write2same/UPI--,TRANSFER TO 4897690162095,3664.29,,43841.44
13 Jul 2024,BY TRANSFER-UPI/CR/446651942933/RAHUL D/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,4809.36,48650.8
31 Jul 2024,TO TRANSFER-UPI/DR/444095824151/PRIYA K/ICIC/rahuldixit/UPI--,TRANSFER TO 9137022807,1097.81,,47552.99
29 Aug 2024,TO TRANSFER-UPI/DR/448390120655/SAMEER S/ICIC/rahuldixit/UPI--,TRANSFER TO 4897690162095,2152.57,,45400.42
6 Jul 2024,BY TRANSFER-UPI/CR/464889414080/RAHUL D/SBIN/write2same/Dr Re--,TRANSFER FROM 9137022807,,476.68,45877.1
20 Jul 2024,BY TRANSFER-UPI/CR/461372419529/RAHUL D/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,4075.28,49952.38
16 Jul 2024,BY TRANSFER-UPI/CR/490964648998/RAHUL D/ICIC/write2same/Dr Re--,TRANSFER FROM 8974521398,,4543.9,54496.28
10 Aug 2024,TO TRANSFER-UPI/DR/475192641766/ROHIT T/HDFC/write2same/UPI--,TRANSFER TO 7382910045,4505.53,,49990.75
15 Sep 2024,BY TRANSFER-UPI/CR/401423365272/ROHIT T/HDFC/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,3600.61,53591.36
5 Sep 2024,TO TRANSFER-UPI/DR/487883651849/SAMEER S/SBIN/spawar3290/UPI--,TRANSFER TO 4897690162095,252.92,,53338.44
9 Jul 2024,TO TRANSFER-UPI/DR/425143913041/ANITA P/ICIC/anitapawar/UPI--,TRANSFER TO 4897690162095,2840.4,,50498.04
3 Sep 2024,BY TRANSFER-UPI/CR/472418032900/MS SANJE/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,2319.19,52817.23
14 Sep 2024,TO TRANSFER-UPI/DR/402954926834/PRIYA K/HDFC/anitapawar/UPI--,TRANSFER TO 4897690162095,3263.48,,49553.75
6 Aug 2024,TO TRANSFER-UPI/DR/411012931301/MS SANJE/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,4085.0,,45468.75
31 Aug 2024,BY TRANSFER-UPI/CR/441328952727/RAHUL D/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,2067.64,47536.39
28 Aug 2024,BY TRANSFER-UPI/CR/418638337196/MS SANJE/KKBK/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,4299.59,51835.98
5 Jul 2024,TO TRANSFER-UPI/DR/455003798002/SAMEER S/HDFC/write2same/UPI--,TRANSFER TO 8974521398,1288.83,,50547.15
8 Jul 2024,BY TRANSFER-UPI/CR/458463901602/ANITA P/ICIC/write2same/Dr Re--,TRANSFER FROM 9137022807,,411.54,50958.69
29 Aug 2024,BY TRANSFER-UPI/CR/466635632797/PRIYA K/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,125.89,51084.58
20 Aug 2024,TO TRANSFER-UPI/DR/425970090531/SAGAR MO/SBIN/rahuldixit/UPI--,TRANSFER TO 9137022807,4732.75,,46351.83
29 Aug 2024,BY TRANSFER-UPI/CR/435165184097/ROHIT T/HDFC/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,3599.63,49951.46
31 Aug 2024,BY TRANSFER-UPI/CR/436111524150/SAGAR MO/HDFC/write2same/Dr Re--,TRANSFER FROM 4897690162095,,157.98,50109.44
18 Jul 2024,TO TRANSFER-UPI/DR/403735364182/MS SANJE/KKBK/spawar3290/UPI--,TRANSFER TO 4897690162095,4010.65,,46098.79
17 Jul 2024,TO TRANSFER-UPI/DR/425280975500/RAHUL D/ICIC/spawar3290/UPI--,TRANSFER TO 4897690162095,348.13,,45750.66
15 Jul 2024,TO TRANSFER-UPI/DR/437407661345/RAHUL D/SBIN/anitapawar/UPI--,TRANSFER TO 9137022807,707.77,,45042.89
2 Aug 2024,BY TRANSFER-UPI/CR/491082114256/PRIYA K/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,4635.4,49678.29
25 Aug 2024,BY TRANSFER-UPI/CR/437679460282/PRIYA K/KKBK/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,1068.07,50746.36
26 Jul 2024,TO TRANSFER-UPI/DR/431324126880/ROHIT T/IDIB/anitapawar/UPI--,TRANSFER TO 4897690162095,2339.81,,48406.55
22 Aug 2024,BY TRANSFER-UPI/CR/437988685868/SAMEER S/HDFC/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,350.64,48757.19
8 Aug 2024,TO TRANSFER-UPI/DR/499453176750/ROHIT T/IDIB/spawar3290/UPI--,TRANSFER TO 9137022807,3002.39,,45754.8
25 Aug 2024,BY TRANSFER-UPI/CR/491708150311/SAMEER S/KKBK/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,4712.61,50467.41
13 Sep 2024,BY TRANSFER-UPI/CR/419382001778/ROHIT T/ICIC/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,304.5,50771.91
5 Jul 2024,BY TRANSFER-UPI/CR/464763067816/SAMEER S/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,1887.09,52659.0
17 Jul 2024,BY TRANSFER-UPI/CR/469559987721/PRIYA K/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,166.55,52825.55
15 Aug 2024,TO TRANSFER-UPI/DR/465264004013/ANITA P/ICIC/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,1388.59,,51436.96
1 Sep 2024,TO TRANSFER-UPI/DR/478457545990/SAGAR MO/KKBK/anitapawar/UPI--,TRANSFER TO 4897732162091,4437.36,,46999.6
29 Aug 2024,BY TRANSFER-UPI/CR/478605995748/RAHUL D/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,872.74,47872.34
6 Jul 2024,TO TRANSFER-UPI/DR/408786695766/ROHIT T/KKBK/spawar3290/UPI--,TRANSFER TO 4897690162095,2182.91,,45689.43
28 Aug 2024,TO TRANSFER-UPI/DR/413594399304/MS SANJE/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,4253.24,,41436.19
18 Sep 2024,TO TRANSFER-UPI/DR/422712112703/SAMEER S/SBIN/anitapawar/UPI--,TRANSFER TO 8974521398,3052.56,,38383.63
27 Jul 2024,BY TRANSFER-UPI/CR/486047117527/SAGAR MO/HDFC/write2same/Dr Re--,TRANSFER FROM 4897690162095,,3841.75,42225.38
8 Sep 2024,TO TRANSFER-UPI/DR/443264818063/MS SANJE/SBIN/anitapawar/UPI--,TRANSFER TO 7382910045,4222.74,,38002.64
30 Jul 2024,BY TRANSFER-UPI/CR/453516628196/RAHUL D/ICIC/write2same/Dr Re--,TRANSFER FROM 7382910045,,3690.18,41692.82
8 Jul 2024,TO TRANSFER-UPI/DR/455757337634/ROHIT T/IDIB/anitapawar/UPI--,TRANSFER TO 9137022807,961.78,,40731.04
28 Sep 2024,TO TRANSFER-UPI/DR/427440951939/MS SANJE/SBIN/rahuldixit/UPI--,TRANSFER TO 9137022807,1059.91,,39671.13
1 Jul 2024,TO TRANSFER-UPI/DR/423196176046/RAHUL D/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,3447.87,,36223.26
31 Aug 2024,TO TRANSFER-UPI/DR/466762268227/MS SANJE/SBIN/spawar3290/UPI--,TRANSFER TO 4897732162091,1726.86,,34496.4
21 Sep 2024,TO TRANSFER-UPI/DR/485733215902/ANITA P/HDFC/rahuldixit/UPI--,TRANSFER TO 4897690162095,2475.83,,32020.57
18 Jul 2024,BY TRANSFER-UPI/CR/407498985748/PRIYA K/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,3525.54,35546.11
10 Aug 2024,TO TRANSFER-UPI/DR/469480324254/SAMEER S/IDIB/rahuldixit/UPI--,TRANSFER TO 4897690162095,798.89,,34747.22
3 Sep 2024,BY TRANSFER-UPI/CR/438373361853/ANITA P/ICIC/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,1928.29,36675.51
6 Sep 2024,BY TRANSFER-UPI/CR/446765507184/ROHIT T/KKBK/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,4784.41,41459.92
2 Sep 2024,TO TRANSFER-UPI/DR/441088612906/SAGAR MO/IDIB/anitapawar/UPI--,TRANSFER TO 4897690162095,4955.64,,36504.28
30 Sep 2024,TO TRANSFER-UPI/DR/479175377135/SAMEER S/KKBK/spawar3290/UPI--,TRANSFER TO 9137022807,1160.62,,35343.66
28 Aug 2024,TO TRANSFER-UPI/DR/464716407786/ANITA P/SBIN/rahuldixit/UPI--,TRANSFER TO 4897732162091,2929.21,,32414.45
17 Jul 2024,BY TRANSFER-UPI/CR/414323475319/RAHUL D/ICIC/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,3279.88,35694.33
15 Sep 2024,BY TRANSFER-UPI/CR/448942249756/PRIYA K/ICIC/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,356.27,36050.6
3 Aug 2024,BY TRANSFER-UPI/CR/472256087116/ROHIT T/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,1995.53,38046.13
3 Sep 2024,BY TRANSFER-UPI/CR/416886620459/PRIYA K/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,941.94,38988.07
2 Aug 2024,TO TRANSFER-UPI/DR/446650497072/SAGAR MO/ICIC/spawar3290/UPI--,TRANSFER TO 4897732162091,3145.64,,35842.43
18 Sep 2024,BY TRANSFER-UPI/CR/414482942629/PRIYA K/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,434.27,36276.7
11 Jul 2024,BY TRANSFER-UPI/CR/405307244853/MS SANJE/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,1286.91,37563.61
24 Sep 2024,TO TRANSFER-UPI/DR/402026232994/PRIYA K/ICIC/spawar3290/UPI--,TRANSFER TO 4897690162095,1883.51,,35680.1
10 Sep 2024,TO TRANSFER-UPI/DR/488045420188/SAMEER S/KKBK/anitapawar/UPI--,TRANSFER TO 4897732162091,2701.0,,32979.1
26 Aug 2024,BY TRANSFER-UPI/CR/493570505800/PRIYA K/IDIB/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,979.35,33958.45
29 Jul 2024,BY TRANSFER-UPI/CR/449647230182/SAMEER S/ICIC/write2same/Dr Re--,TRANSFER FROM 4897690162095,,2209.07,36167.52
28 Sep 2024,TO TRANSFER-UPI/DR/457032770037/MS SANJE/SBIN/spawar3290/UPI--,TRANSFER TO 8974521398,4921.67,,31245.85
30 Sep 2024,TO TRANSFER-UPI/DR/407324174754/ROHIT T/ICIC/spawar3290/UPI--,TRANSFER TO 4897732162091,2706.1,,28539.75
8 Aug 2024,TO TRANSFER-UPI/DR/465160511020/ANITA P/IDIB/anitapawar/UPI--,TRANSFER TO 8974521398,4408.63,,24131.12
7 Sep 2024,TO TRANSFER-UPI/DR/483794100399/PRIYA K/KKBK/anitapawar/UPI--,TRANSFER TO 4897690162095,1328.19,,22802.93
25 Aug 2024,BY TRANSFER-UPI/CR/448353666718/MS SANJE/KKBK/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,729.93,23532.86
27 Aug 2024,TO TRANSFER-UPI/DR/490748912731/ROHIT T/ICIC/rahuldixit/UPI--,TRANSFER TO 4897732162091,175.09,,23357.77
23 Aug 2024,TO TRANSFER-UPI/DR/459888469930/ROHIT T/SBIN/anitapawar/UPI--,TRANSFER TO 7382910045,1589.5,,21768.27
30 Aug 2024,TO TRANSFER-UPI/DR/417100805945/PRIYA K/KKBK/rahuldixit/UPI--,TRANSFER TO 8974521398,182.29,,21585.98
7 Sep 2024,TO TRANSFER-UPI/DR/433539793339/SAMEER S/SBIN/write2same/UPI--,TRANSFER TO 7382910045,2256.16,,19329.82
26 Aug 2024,TO TRANSFER-UPI/DR/494046624024/SAMEER S/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,4138.89,,15190.93
11 Aug 2024,TO TRANSFER-UPI/DR/406706482682/SAMEER S/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,3732.04,,11458.89
14 Sep 2024,TO TRANSFER-UPI/DR/425900916318/MS SANJE/IDIB/rahuldixit/UPI--,TRANSFER TO 4897732162091,3993.06,,7465.83
31 Aug 2024,BY TRANSFER-UPI/CR/441827158533/RAHUL D/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,485.02,7950.85
31 Aug 2024,TO TRANSFER-UPI/DR/440801719337/MS SANJE/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,1473.88,,6476.97
25 Sep 2024,BY TRANSFER-UPI/CR/411210521303/ANITA P/KKBK/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,259.24,6736.21
4 Aug 2024,TO TRANSFER-UPI/DR/425592795794/ANITA P/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,2569.64,,4166.57
16 Aug 2024,BY TRANSFER-UPI/CR/447071787906/SAMEER S/IDIB/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,4670.01,8836.58
9 Aug 2024,BY TRANSFER-UPI/CR/434094942058/ROHIT T/IDIB/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,4751.51,13588.09
4 Sep 2024,TO TRANSFER-UPI/DR/426730250791/SAMEER S/ICIC/spawar3290/UPI--,TRANSFER TO 8974521398,1782.84,,11805.25
12 Sep 2024,TO TRANSFER-UPI/DR/402266083492/MS SANJE/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,4201.37,,7603.88
5 Sep 2024,BY TRANSFER-UPI/CR/441854902064/ANITA P/SBIN/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,227.68,7831.56
29 Aug 2024,TO TRANSFER-UPI/DR/431958910269/SAMEER S/SBIN/anitapawar/UPI--,TRANSFER TO 9137022807,763.14,,7068.42
29 Sep 2024,BY TRANSFER-UPI/CR/438775641134/SAGAR MO/ICIC/write2same/Dr Re--,TRANSFER FROM 8974521398,,662.93,7731.35
9 Jul 2024,BY TRANSFER-UPI/CR/414068999452/RAHUL D/ICIC/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,4539.29,12270.64
21 Aug 2024,BY TRANSFER-UPI/CR/405281601820/SAMEER S/SBIN/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,3205.17,15475.81
1 Sep 2024,TO TRANSFER-UPI/DR/435427100238/SAMEER S/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,1371.7,,14104.11
15 Aug 2024,BY TRANSFER-UPI/CR/405982342530/SAGAR MO/ICIC/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,248.32,14352.43
14 Aug 2024,BY TRANSFER-UPI/CR/434153017929/SAMEER S/IDIB/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,328.56,14680.99
19 Aug 2024,BY TRANSFER-UPI/CR/496309383625/SAGAR MO/IDIB/write2same/Dr Re--,TRANSFER FROM 4897690162095,,1247.55,15928.54
11 Sep 2024,TO TRANSFER-UPI/DR/492222781435/MS SANJE/ICIC/anitapawar/UPI--,TRANSFER TO 7382910045,1604.35,,14324.19
1 Sep 2024,BY TRANSFER-UPI/CR/470861403779/SAGAR MO/SBIN/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,1801.78,16125.97
20 Sep 2024,BY TRANSFER-UPI/CR/444585857651/SAGAR MO/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,4925.77,21051.74
13 Aug 2024,TO TRANSFER-UPI/DR/457019465331/ANITA P/ICIC/rahuldixit/UPI--,TRANSFER TO 8974521398,1320.86,,19730.88
3 Jul 2024,BY TRANSFER-UPI/CR/438026301785/MS SANJE/SBIN/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,3427.44,23158.32
8 Sep 2024,TO TRANSFER-UPI/DR/457706099054/SAMEER S/HDFC/rahuldixit/UPI--,TRANSFER TO 9137022807,4730.54,,18427.78
8 Aug 2024,TO TRANSFER-UPI/DR/431788194153/SAGAR MO/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,3984.08,,14443.7
16 Jul 2024,TO TRANSFER-UPI/DR/490401234553/SAMEER S/KKBK/spawar3290/UPI--,TRANSFER TO 7382910045,420.3,,14023.4
12 Jul 2024,TO TRANSFER-UPI/DR/401166451050/ROHIT T/SBIN/rahuldixit/UPI--,TRANSFER TO 7382910045,2175.47,,11847.93
19 Jul 2024,BY TRANSFER-UPI/CR/438528279068/ANITA P/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 4897732162091,,1315.9,13163.83
8 Sep 2024,BY TRANSFER-UPI/CR/452274990851/ANITA P/IDIB/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,547.51,13711.34
5 Sep 2024,BY TRANSFER-UPI/CR/448711467229/SAGAR MO/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,4029.23,17740.57
25 Aug 2024,TO TRANSFER-UPI/DR/434335937012/SAGAR MO/SBIN/rahuldixit/UPI--,TRANSFER TO 9137022807,222.77,,17517.8
3 Sep 2024,BY TRANSFER-UPI/CR/477863904307/RAHUL D/ICIC/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,563.41,18081.21
14 Aug 2024,TO TRANSFER-UPI/DR/438849059646/PRIYA K/ICIC/spawar3290/UPI--,TRANSFER TO 8974521398,1175.61,,16905.6
1 Jul 2024,BY TRANSFER-UPI/CR/498973841696/PRIYA K/ICIC/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,4161.64,21067.24
30 Sep 2024,BY TRANSFER-UPI/CR/473680382659/SAMEER S/SBIN/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,187.87,21255.11
5 Sep 2024,BY TRANSFER-UPI/CR/478403721752/ANITA P/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 4897732162091,,4991.1,26246.21
25 Jul 2024,TO TRANSFER-UPI/DR/423097594070/RAHUL D/ICIC/anitapawar/UPI--,TRANSFER TO 7382910045,1202.15,,25044.06
14 Sep 2024,BY TRANSFER-UPI/CR/472277494250/ANITA P/ICIC/write2same/Dr Re--,TRANSFER FROM 4897690162095,,2331.13,27375.19
26 Aug 2024,BY TRANSFER-UPI/CR/465721220607/SAGAR MO/ICIC/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,3765.26,31140.45
5 Jul 2024,BY TRANSFER-UPI/CR/481350280996/SAMEER S/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,2122.7,33263.15
22 Sep 2024,BY TRANSFER-UPI/CR/483565834463/PRIYA K/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,1504.7,34767.85
4 Aug 2024,BY TRANSFER-UPI/CR/432213479560/MS SANJE/SBIN/write2same/Dr Re--,TRANSFER FROM 9137022807,,2555.08,37322.93
23 Aug 2024,TO TRANSFER-UPI/DR/402390299346/PRIYA K/HDFC/rahuldixit/UPI--,TRANSFER TO 7382910045,2503.84,,34819.09
1 Jul 2024,TO TRANSFER-UPI/DR/404240399453/SAGAR MO/SBIN/rahuldixit/UPI--,TRANSFER TO 4897690162095,1114.82,,33704.27
22 Jul 2024,TO TRANSFER-UPI/DR/475602493013/SAGAR MO/ICIC/write2same/UPI--,TRANSFER TO 4897690162095,2434.88,,31269.39
7 Sep 2024,TO TRANSFER-UPI/DR/443255122424/SAMEER S/IDIB/rahuldixit/UPI--,TRANSFER TO 4897690162095,2036.24,,29233.15
14 Aug 2024,TO TRANSFER-UPI/DR/453210537535/SAMEER S/SBIN/write2same/UPI--,TRANSFER TO 8974521398,1754.83,,27478.32
2 Aug 2024,BY TRANSFER-UPI/CR/433788696424/ANITA P/ICIC/write2same/Dr Re--,TRANSFER FROM 8974521398,,847.28,28325.6
12 Aug 2024,BY TRANSFER-UPI/CR/450486228377/PRIYA K/KKBK/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,2444.99,30770.59
9 Sep 2024,TO TRANSFER-UPI/DR/464423637506/SAMEER S/ICIC/anitapawar/UPI--,TRANSFER TO 7382910045,2737.72,,28032.87
12 Jul 2024,BY TRANSFER-UPI/CR/403140586532/SAMEER S/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,206.75,28239.62
26 Aug 2024,TO TRANSFER-UPI/DR/451369682473/ANITA P/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,3348.53,,24891.09
27 Sep 2024,TO TRANSFER-UPI/DR/443781617858/SAGAR MO/KKBK/spawar3290/UPI--,TRANSFER TO 7382910045,1542.19,,23348.9
18 Jul 2024,TO TRANSFER-UPI/DR/440557768397/RAHUL D/ICIC/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,4954.75,,18394.15
26 Jul 2024,TO TRANSFER-UPI/DR/488680613757/PRIYA K/IDIB/anitapawar/UPI--,TRANSFER TO 4897732162091,149.0,,18245.15
6 Sep 2024,TO TRANSFER-UPI/DR/468899897043/ANITA P/HDFC/rahuldixit/UPI--,TRANSFER TO 9137022807,4235.05,,14010.1
10 Sep 2024,TO TRANSFER-UPI/DR/428443044392/SAGAR MO/HDFC/spawar3290/UPI--,TRANSFER TO 8974521398,4597.67,,9412.43
20 Aug 2024,TO TRANSFER-UPI/DR/444506481485/SAMEER S/KKBK/rahuldixit/UPI--,TRANSFER TO 8974521398,2170.96,,7241.47
29 Aug 2024,BY TRANSFER-UPI/CR/490243065583/MS SANJE/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,4824.2,12065.67
17 Sep 2024,BY TRANSFER-UPI/CR/406310002741/SAGAR MO/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,770.76,12836.43
20 Aug 2024,BY TRANSFER-UPI/CR/462467111772/ROHIT T/HDFC/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,2053.43,14889.86
6 Jul 2024,TO TRANSFER-UPI/DR/438615640121/SAGAR MO/ICIC/anitapawar/UPI--,TRANSFER TO 8974521398,4897.15,,9992.71
6 Aug 2024,TO TRANSFER-UPI/DR/435721037820/PRIYA K/SBIN/anitapawar/UPI--,TRANSFER TO 4897690162095,3362.08,,6630.63
29 Aug 2024,TO TRANSFER-UPI/DR/475419944881/PRIYA K/IDIB/write2same/UPI--,TRANSFER TO 9137022807,3197.8,,3432.83
24 Sep 2024,BY TRANSFER-UPI/CR/413806763499/SAMEER S/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,4984.97,8417.8
15 Sep 2024,BY TRANSFER-UPI/CR/481895213707/MS SANJE/HDFC/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,2784.93,11202.73
29 Jul 2024,TO TRANSFER-UPI/DR/454869216370/SAMEER S/IDIB/anitapawar/UPI--,TRANSFER TO 7382910045,4087.52,,7115.21
19 Jul 2024,TO TRANSFER-UPI/DR/490198675853/MS SANJE/HDFC/rahuldixit/UPI--,TRANSFER TO 4897690162095,4591.86,,2523.35
31 Aug 2024,BY TRANSFER-UPI/CR/465229159278/ANITA P/HDFC/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,1859.33,4382.68
13 Aug 2024,TO TRANSFER-UPI/DR/447364490828/PRIYA K/KKBK/spawar3290/UPI--,TRANSFER TO 7382910045,1020.0,,3362.68
14 Jul 2024,TO TRANSFER-UPI/DR/459534015527/SAMEER S/ICIC/rahuldixit/UPI--,TRANSFER TO 8974521398,4634.86,,-1272.18
5 Jul 2024,BY TRANSFER-UPI/CR/437292466776/PRIYA K/SBIN/write2same/Dr Re--,TRANSFER FROM 4897690162095,,3323.11,2050.93
19 Aug 2024,TO TRANSFER-UPI/DR/437253641120/ROHIT T/SBIN/rahuldixit/UPI--,TRANSFER TO 8974521398,3757.19,,-1706.26
16 Aug 2024,TO TRANSFER-UPI/DR/473455135379/ROHIT T/HDFC/write2same/UPI--,TRANSFER TO 4897690162095,2569.73,,-4275.99
7 Jul 2024,BY TRANSFER-UPI/CR/427485063080/RAHUL D/ICIC/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,2759.01,-1516.98
11 Aug 2024,BY TRANSFER-UPI/CR/407918567954/RAHUL D/KKBK/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,614.38,-902.6
25 Aug 2024,TO TRANSFER-UPI/DR/477106622298/ROHIT T/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,578.36,,-1480.96
7 Aug 2024,TO TRANSFER-UPI/DR/441964028817/ROHIT T/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,2949.61,,-4430.57
8 Aug 2024,BY TRANSFER-UPI/CR/495097994436/SAGAR MO/SBIN/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,1325.02,-3105.55
9 Sep 2024,BY TRANSFER-UPI/CR/457401794237/SAMEER S/IDIB/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,693.35,-2412.2
15 Jul 2024,BY TRANSFER-UPI/CR/454123173586/SAGAR MO/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,367.7,-2044.5
